ID,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Maceration
1,3.8,0.31,0.02,11.1,0.036,20,114,0.99248,3.75,0.44,12.4,6,0
2,3.9,0.225,0.4,4.2,0.03,29,118,0.989,3.57,0.36,12.8,8,0
3,4.2,0.17,0.36,1.8,0.029,93,161,0.98999,3.65,0.89,12,7,1
4,4.2,0.215,0.23,5.1,0.041,64,157,0.99688,3.42,0.44,8,3,0
5,4.4,0.46,0.1,2.8,0.024,31,111,0.98816,3.48,0.34,13.1,6,1
6,4.4,0.32,0.39,4.3,0.03,31,127,0.98904,3.46,0.36,12.8,8,0
7,4.4,0.54,0.09,5.1,0.038,52,97,0.99022,3.41,0.4,12.2,7,1
8,4.5,0.19,0.21,0.95,0.033,89,159,0.99332,3.34,0.42,8,5,0
9,4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,4,10
10,4.6,0.445,0,1.4,0.053,11,178,0.99426,3.79,0.55,10.2,5,0
11,4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,6,13
12,4.7,0.67,0.09,1,0.02,5,9,0.98722,3.3,0.34,13.6,5,1
13,4.7,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14,7,0
14,4.7,0.145,0.29,1,0.042,35,90,0.9908,3.76,0.49,11.3,6,1
15,4.7,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.5,5,1
16,4.7,0.785,0,3.4,0.036,23,134,0.98981,3.53,0.92,13.8,6,1
17,4.8,0.34,0,6.5,0.028,33,163,0.9939,3.36,0.61,9.9,6,0
18,4.8,0.33,0,6.5,0.028,34,163,0.9937,3.35,0.61,9.9,5,1
19,4.8,0.21,0.21,10.2,0.037,17,112,0.99324,3.66,0.48,12.2,7,0
20,4.8,0.17,0.28,2.9,0.03,22,111,0.9902,3.38,0.34,11.3,7,0
21,4.8,0.26,0.23,10.6,0.034,23,111,0.99274,3.46,0.28,11.5,7,1
22,4.8,0.65,0.12,1.1,0.013,4,10,0.99246,3.32,0.36,13.5,4,0
23,4.8,0.13,0.32,1.2,0.042,40,98,0.9898,3.42,0.64,11.8,7,1
24,4.8,0.225,0.38,1.2,0.074,47,130,0.99132,3.31,0.4,10.3,6,1
25,4.8,0.29,0.23,1.1,0.044,38,180,0.98924,3.28,0.34,11.9,6,1
26,4.9,0.42,0,2.1,0.048,16,42,0.99154,3.71,0.74,14,7,20
27,4.9,0.33,0.31,1.2,0.016,39,150,0.98713,3.33,0.59,14,8,1
28,4.9,0.345,0.34,1,0.068,32,143,0.99138,3.24,0.4,10.1,5,0
29,4.9,0.345,0.34,1,0.068,32,143,0.99138,3.24,0.4,10.1,5,1
30,4.9,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.46666667,5,1
31,4.9,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.46666667,5,1
32,4.9,0.47,0.17,1.9,0.035,60,148,0.98964,3.27,0.35,11.5,6,1
33,4.9,0.235,0.27,11.75,0.03,34,118,0.9954,3.07,0.5,9.4,6,1
34,5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,4,20
35,5,1.04,0.24,1.6,0.05,32,96,0.9934,3.74,0.62,11.5,5,17
36,5,0.42,0.24,2,0.06,19,50,0.9917,3.72,0.74,14,8,15
37,5,0.4,0.5,4.3,0.046,29,80,0.9902,3.49,0.66,13.6,6,10
38,5,0.38,0.01,1.6,0.048,26,60,0.99084,3.7,0.75,14,6,12
39,5,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,6,8
40,5,0.55,0.14,8.3,0.032,35,164,0.9918,3.53,0.51,12.5,8,0
41,5,0.17,0.56,1.5,0.026,24,115,0.9906,3.48,0.39,10.8,7,1
42,5,0.44,0.04,18.6,0.039,38,128,0.9985,3.37,0.57,10.2,6,0
43,5,0.31,0,6.4,0.046,43,166,0.994,3.3,0.63,9.9,6,1
44,5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,6,0
